osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
38310428,Sedley Place,,footway,0,0,,,528646.00,181086.97,528589.56,181138.38
38310454,Brook Street,,unclassified,1,0,30,,528589.19,180967.33,528875.52,181032.12
38310764,Bloomfield Place,,footway,0,0,,,528866.61,180853.33,528889.78,180853.33
38310799,Woodstock Street,,unclassified,0,0,,,528636.56,181103.08,528675.26,181071.56
38310983,Tenterden Street,,construction,0,0,,,528778.94,181114.13,528862.34,181114.13
38311079,Princes Street,,unclassified,0,0,,,529002.20,181161.48,529018.04,181161.48
38318468,Aldford Street,,unclassified,0,0,,,528217.04,180472.94,528376.86,180516.55
38318477,,,footway,0,0,,,528208.08,180460.03,528191.65,180454.01
38318553,,,footway,0,0,,,528454.99,180574.46,528442.20,180513.75
38319002,Reeves Mews,,unclassified,0,0,30,,528196.41,180639.09,528338.35,180639.09
38322415,Long Acre,B402,secondary,1,0,30,,530064.22,180891.09,530075.46,180889.11
38322680,Goodwins Court,,footway,0,0,,,530070.93,180771.61,530153.16,180783.16
38325238,Buckingham Street,,residential,0,0,,,530294.97,180482.31,530353.91,180482.31
38325239,,,footway,0,0,,,530293.64,180541.72,530277.25,180547.10
38325240,,,service,0,0,,,530294.97,180549.42,530280.66,180549.42
38325242,,,steps,0,0,,,530177.73,180479.85,530171.35,180479.85
38325244,Craven Street,,pedestrian,0,0,,,530136.88,180454.87,530183.01,180431.19
38325246,,,service,1,0,,,530183.01,180436.77,530196.37,180451.56
38325256,,,service,1,0,,,530302.11,180348.23,530289.29,180348.23
38325327,,,service,0,0,,,530089.85,180210.43,530055.44,180206.49
38329791,Coach and Horses Yard,,service,0,0,,,529051.16,180797.90,528993.02,180752.47
38329792,Heddon Street,,service,0,0,,,529168.44,180797.38,529204.04,180809.02
38329793,Heddon Street,,footway,0,0,,,529204.04,180811.33,529207.46,180811.33
38329794,New Burlington Place,,pedestrian,0,0,,,529135.19,180934.64,529155.72,180934.64
